,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,14,14,15,15,47,285,285.0
Reserves,108,216,307,475,1292,1093,1106.0
Preference Capital,0,0,0,0,0,0,
Borrowings,83,310,413,333,593,798,966.0
Other Liabilities,148,235,390,480,714,773,779.0
Total Liabilities,353,776,1124,1302,2646,2950,3136.0
Fixed Assets,34,140,227,231,483,699,696.0
CWIP,0,0,2,2,24,31,1.0
Investments,10,138,4,1,0,38,36.0
Other Assets,308,497,892,1067,2138,2182,2404.0
Total Assets,353,776,1124,1302,2646,2950,3136.0
