,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,100,100,100,100,100,6325,6325,6325
Reserves,506,550,579,640,6261,4084,39344,54852
Borrowings,0,0,0,0,0,0,0,0
Other Liabilities,2571339,2844339,3111132,3202760,3805395,4220181,4504843,4834257
Total Liabilities,2571946,2844989,3111811,3203500,3811756,4230590,4550512,4895434
Fixed Assets,2403,2574,2643,17138,17693,17744,20446,3883
CWIP,182,175,241,246,148,198,331,0
Investments,2335631,2604269,2829867,2906128,3506930,3911654,4227894,4590990
Other Assets,233729,237972,279059,279988,286984,300993,301842,300561
Total Assets,2571946,2844989,3111811,3203500,3811756,4230590,4550512,4895434
