,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,7515.0,8335.0,9101.0,9855.0,8175.0,9141.0,10010.0,11292.0,12369.0,13350.0,14741.0,16897.0,18783
Expenses,5990.0,6509.0,7153.0,7816.0,6620.0,7292.0,7913.0,8675.0,9443.0,10149.0,11178.0,13191.0,14434
Operating Profit,1525.0,1825.0,1948.0,2039.0,1555.0,1850.0,2097.0,2618.0,2926.0,3202.0,3562.0,3706.0,4349
OPM %,20.0,22.0,21.0,21.0,19.0,20.0,21.0,23.0,24.0,24.0,24.0,22.0,23
Other Income,21.0,31.0,97.0,87.0,-391.0,140.0,177.0,259.0,247.0,146.0,-112.0,107.0,227
Interest,5.0,27.0,37.0,14.0,3.0,91.0,92.0,112.0,129.0,164.0,202.0,155.0,146
Depreciation,153.0,277.0,330.0,338.0,347.0,354.0,342.0,336.0,370.0,370.0,391.0,403.0,419
Profit before tax,1388.0,1553.0,1678.0,1774.0,814.0,1545.0,1839.0,2429.0,2673.0,2813.0,2857.0,3256.0,4011
Tax %,31.0,31.0,33.0,33.0,31.0,35.0,33.0,34.0,26.0,26.0,26.0,27.0,
Net Profit,962.0,1068.0,1117.0,1185.0,563.0,1001.0,1225.0,1607.0,1968.0,2082.0,2118.0,2391.0,2971
EPS in Rs,99.73,110.76,115.87,122.87,58.42,103.86,127.07,166.67,204.16,215.98,219.72,247.94,308.15
