,2012-09-01,2013-09-01,2014-09-01,2015-09-01,2016-09-01,2017-09-01,2018-09-01,2019-09-01,2020-09-01,2021-09-01,2022-09-01,2023-09-01
Sales,12920,11353.0,10678.0,10512.0,10810.0,11015.0,12725.0,13000.0,9869.0,12522.0,14832.0,17965.0
Expenses,12005,10908.0,10559.0,9516.0,9762.0,9937.0,11382.0,11498.0,8850.0,11065.0,13197.0,15725.0
Operating Profit,915,444.0,119.0,997.0,1047.0,1078.0,1344.0,1503.0,1020.0,1457.0,1635.0,2240.0
OPM %,7,4.0,1.0,9.0,10.0,10.0,11.0,12.0,10.0,12.0,11.0,12.0
Other Income,-144,67.0,985.0,943.0,3156.0,820.0,280.0,394.0,310.0,278.0,597.0,549.0
Interest,49,43.0,31.0,28.0,35.0,32.0,36.0,39.0,60.0,46.0,61.0,20.0
Depreciation,201,250.0,229.0,216.0,226.0,197.0,197.0,198.0,250.0,225.0,210.0,224.0
Profit before tax,521,219.0,844.0,1696.0,3942.0,1669.0,1391.0,1660.0,1020.0,1464.0,1961.0,2545.0
Tax %,34,11.0,28.0,30.0,26.0,32.0,36.0,35.0,26.0,25.0,22.0,25.0
Net Profit,343,194.0,603.0,1183.0,2917.0,1134.0,894.0,1087.0,756.0,1103.0,1531.0,1911.0
EPS in Rs,,5.45,16.94,33.23,81.91,31.83,25.1,30.52,21.24,30.97,42.99,53.67
