,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,197,197,197,197,197,197,197,197,197,197,197,197,197
Reserves,2315,2588,2898,3151,3277,3831,4491,5329,5527,6857,7958,9075,9885
Borrowings,0,0,0,0,0,0,0,0,0,80,95,63,52
Other Liabilities,394,446,468,397,285,350,585,670,782,812,648,814,718
Total Liabilities,2906,3232,3564,3745,3759,4378,5273,6197,6507,7946,8898,10148,10853
Fixed Assets,1246,1377,1373,1179,845,1225,1153,1112,1145,946,1791,1729,1810
CWIP,4,3,2,2,1,2,49,13,66,146,244,131,3
Investments,224,244,472,506,636,1148,2147,2801,2692,3504,3589,5512,6473
Other Assets,1433,1609,1717,2058,2278,2004,1923,2271,2603,3351,3274,2775,2567
Total Assets,2906,3232,3564,3745,3759,4378,5273,6197,6507,7946,8898,10148,10853
